repo,feat,fix,refactor,ci,chore,other,total_commits
offseason-shelter-for-science,46,23,2,3,5,106,185
13_potentiel_solaire,276,166,11,17,38,326,834
13_democratiser_sobriete,93,68,2,5,13,124,305
13_empreinte_souffrance,64,54,1,1,4,71,195
13_pollution_eau,100,68,5,6,7,269,455
13_eclaireur_public,149,134,28,12,13,304,640
13_brigade_coupes_rases,227,134,18,30,51,204,664
13_odis,138,83,8,7,16,368,620
13_reveler_inegalites_cinema,140,115,20,13,14,92,394
13_ia_financement,3,1,0,0,0,68,72
CarbonBombs,121,48,24,0,3,142,338
12_bloom,210,301,25,3,2,465,1006
quotaclimat,327,198,1,1071,32,260,1889
13_stop_cyberviolence,41,1,5,5,1,155,208
offseason_greenlobby,31,7,2,0,1,11,52
13_ecoskills,134,95,9,18,2,124,382
12_zero_dechet_sauvage,21,16,0,0,3,153,193
12_pinkbombs,14,14,1,0,0,43,72
12_observatoire_des_imaginaires,28,29,5,4,11,182,259
batch7_satellite_ges,76,9,0,6,3,282,376
batch10_notaclimat,20,24,0,0,6,202,252
