repo,nombre_contributeurs,feat,fix,refactor,docs,test,ci,chore,other,total_commits
offseason-shelter-for-science,2,46,23,2,0,3,2,5,104,185
13_potentiel_solaire,16,276,166,11,12,10,16,37,306,834
13_democratiser_sobriete,4,89,65,2,17,5,3,12,102,295
13_empreinte_souffrance,3,64,54,1,4,2,1,3,66,195
13_pollution_eau,8,100,68,5,10,5,5,7,255,455
13_eclaireur_public,13,149,134,28,22,10,9,13,275,640
13_brigade_coupes_rases,15,227,134,18,16,21,28,36,184,664
13_odis,14,134,83,8,22,29,6,13,296,591
13_reveler_inegalites_cinema,9,140,115,20,0,1,13,14,91,394
13_ia_financement,2,3,1,0,24,0,0,0,44,72
CarbonBombs,6,121,48,24,28,0,0,3,114,338
12_bloom,25,210,301,25,15,7,3,2,443,1006
quotaclimat,28,327,198,1,12,13,1069,29,240,1889
13_stop_cyberviolence,2,41,1,5,10,0,5,1,145,208
offseason_greenlobby,2,31,7,2,4,3,0,1,4,52
13_ecoskills,7,134,95,9,27,3,16,1,97,382
12_zero_dechet_sauvage,3,21,16,0,1,1,0,3,151,193
12_pinkbombs,2,14,14,1,2,1,0,0,40,72
12_observatoire_des_imaginaires,7,28,29,5,5,2,4,11,175,259
batch7_satellite_ges,7,76,9,0,43,2,6,1,239,376
batch10_notaclimat,5,20,24,0,12,1,0,6,189,252
